"ROWID","MinimumLatitude","MaximumLatitude","MinimumLongitude","MaximumLongitude"
"248","38.862937927246094","38.896034240722656","-77.13585662841797","-77.09334564208984"
"88","38.8634033203125","38.89937210083008","-77.1407699584961","-77.09456634521484"
"202","38.8634033203125","38.89937210083008","-77.1407699584961","-77.09456634521484"
"310","38.8634033203125","38.89937210083008","-77.1407699584961","-77.09456634521484"
"212","38.86366653442383","38.89983367919922","-77.13400268554688","-77.0875473022461"
"203","38.8639030456543","38.901145935058594","-77.13983154296875","-77.09198760986328"
"317","38.8639030456543","38.901145935058594","-77.13983154296875","-77.09198760986328"
"74","38.863929748535156","38.896610260009766","-77.13375091552734","-77.0917739868164"
"141","38.86415481567383","38.89728546142578","-77.13449096679688","-77.09193420410156"
"80","38.86415481567383","38.89728546142578","-77.13449096679688","-77.09193420410156"
"266","38.86415481567383","38.89728546142578","-77.13449096679688","-77.09193420410156"
"147","38.86464309692383","38.89784240722656","-77.13558197021484","-77.09292602539062"
"86","38.86464309692383","38.89784240722656","-77.13558197021484","-77.09292602539062"
"269","38.86464309692383","38.89784240722656","-77.13558197021484","-77.09292602539062"
"42","38.865020751953125","38.89134216308594","-77.13648986816406","-77.10267639160156"
"221","38.86745071411133","38.898948669433594","-77.1338882446289","-77.09342956542969"
"339","38.86745071411133","38.898948669433594","-77.1338882446289","-77.09342956542969"
"346","38.86701202392578","38.899837493896484","-77.13519287109375","-77.09302520751953"
